I;T;Melhor;Media
1;5;42107;35528.333333333
2;5;42107;35528.333333333
3;5;42107;35528.333333333
4;5;42107;35528.333333333
5;5;42107;35528.333333333
6;5;42107;35528.333333333
7;5;42107;35528.333333333
8;5;42107;35528.333333333
9;5;42107;35528.333333333
10;5;42107;35528.333333333
11;5;42107;35528.333333333
12;5;42107;35528.333333333
13;5;42107;35528.333333333
14;5;42107;35528.333333333
15;5;42107;35528.333333333
16;5;42107;35528.333333333
17;5;42107;35528.333333333
18;5;42107;35528.333333333
19;5;42107;35528.333333333
20;5;42107;35528.333333333
21;5;42107;35528.333333333
22;5;42107;35528.333333333
23;5;42107;35528.333333333
24;5;42107;35528.333333333
25;5;42107;35528.333333333
26;5;42107;35528.333333333
27;5;42107;35528.333333333
28;5;42107;35528.333333333
29;5;42107;35528.333333333
30;5;42107;35528.333333333
31;5;42107;35528.333333333
32;5;42107;35528.333333333
33;5;42107;35528.333333333
34;5;42107;35528.333333333
35;5;42107;35528.333333333
36;5;42107;35528.333333333
37;5;42107;35528.333333333
38;5;42107;35528.333333333
39;5;42107;35528.333333333
40;5;42107;35528.333333333
41;5;42107;35507
42;5;42107;35507
43;5;42107;35507
44;5;42107;35507
45;5;42107;35507
46;5;42107;35507
47;5;42107;35507
48;5;42107;35507
49;5;42107;35507
50;5;42107;35507
51;5;42107;35507
52;5;42107;35507
53;5;42107;35507
54;5;42107;35507
55;5;42107;35507
56;5;42107;35507
57;5;42107;35507
58;5;42107;35507
59;5;42107;35507
60;5;42107;35507
61;5;42107;35507
62;5;42107;35507
63;5;42107;35507
64;5;42107;35507
65;5;42107;35507
66;5;42107;35507
67;5;42107;35507
68;5;42107;35507
69;5;42107;35507
70;5;42107;35507
71;5;42107;35507
72;5;42107;35507
73;5;42107;35507
74;5;42107;35507
75;5;42107;35507
76;5;42107;35507
77;5;42107;35507
78;5;42107;35507
79;5;42107;35507
80;5;42107;35507
81;5;42107;35507
82;5;42107;35507
83;5;42107;35507
84;5;42107;35507
85;5;42107;35507
86;5;42107;35507
87;5;42107;35507
88;5;42107;35507
89;5;42107;35507
90;5;42076;35489.333333333
91;5;42076;35489.333333333
92;5;42076;35489.333333333
93;5;42076;35489.333333333
94;5;42076;35489.333333333
95;5;42076;35489.333333333
96;5;42076;35489.333333333
97;5;42076;35489.333333333
98;5;42076;35489.333333333
99;5;42076;35489.333333333
100;5;42076;35489.333333333
101;5;42076;35489.333333333
102;5;42076;35489.333333333
103;5;42076;35489.333333333
104;5;42076;35489.333333333
105;5;42076;35489.333333333
106;5;42076;35489.333333333
107;5;42076;35489.333333333
108;5;42076;35489.333333333
109;5;42076;35489.333333333
110;5;42076;35489.333333333
111;5;42076;35489.333333333
112;5;42076;35489.333333333
113;5;42076;35489.333333333
114;5;42076;35489.333333333
115;5;42076;35489.333333333
116;5;42076;35489.333333333
117;5;42076;35489.333333333
118;5;42076;35489.333333333
119;5;42076;35489.333333333
120;5;42076;35489.333333333
121;5;42076;35489.333333333
122;5;42076;35489.333333333
123;5;42076;35470.666666667
124;5;42076;35470.666666667
125;5;42076;35470.666666667
126;5;42076;35470.666666667
127;5;42076;35470.666666667
128;5;42076;35470.666666667
129;5;42076;35470.666666667
130;5;42076;35470.666666667
131;5;42076;35470.666666667
132;5;42076;35470.666666667
133;5;42076;35470.666666667
134;5;42076;35470.666666667
135;5;42076;35470.666666667
136;5;42076;35470.666666667
137;5;42076;35470.666666667
138;5;42076;35470.666666667
139;5;42076;35470.666666667
140;5;42076;35470.666666667
141;5;42076;35470.666666667
142;5;42076;35470.666666667
143;5;42076;35470.666666667
144;5;42076;35470.666666667
145;5;42076;35470.666666667
146;5;42076;35470.666666667
147;5;42076;35470.666666667
148;5;42076;35470.666666667
149;5;42076;35470.666666667
150;5;42076;35470.666666667
151;5;42076;35470.666666667
152;5;42076;35470.666666667
153;5;42076;35470.666666667
154;5;42076;35470.666666667
155;5;42076;35470.666666667
156;5;42076;35470.666666667
157;5;42076;35470.666666667
158;5;42076;35470.666666667
159;5;42076;35470.666666667
160;5;42076;35470.666666667
161;5;42076;35470.666666667
162;5;42076;35470.666666667
163;5;42076;35470.666666667
164;5;42076;35470.666666667
165;5;42076;35470.666666667
166;5;42076;35470.666666667
167;5;42076;35470.666666667
168;5;42076;35470.666666667
169;5;42076;35470.666666667
170;5;42076;35470.666666667
171;5;42076;35470.666666667
172;5;42076;35470.666666667
173;5;42076;35470.666666667
174;5;42076;35470.666666667
175;5;42076;35470.666666667
176;5;42076;35470.666666667
177;5;42076;35470.666666667
178;5;42076;35470.666666667
179;5;42076;35470.666666667
180;5;42076;35470.666666667
181;5;42076;35470.666666667
182;5;42076;35470.666666667
183;5;42076;35470.666666667
184;5;42076;35470.666666667
185;5;42076;35470.666666667
186;5;42076;35470.666666667
187;5;42076;35470.666666667
188;5;42076;35470.666666667
189;5;42076;35470.666666667
190;5;42076;35470.666666667
191;5;42076;35465.333333333
192;5;42076;35465.333333333
193;5;42076;35465.333333333
194;5;42076;35465.333333333
195;5;42076;35465.333333333
196;5;42076;35465.333333333
197;5;42076;35465.333333333
198;5;42076;35465.333333333
199;5;42076;35465.333333333
200;5;42076;35465.333333333
201;5;42076;35465.333333333
202;5;42076;35465.333333333
203;5;42076;35465.333333333
204;5;42076;35465.333333333
205;5;42076;35465.333333333
206;5;42076;35465.333333333
207;5;42076;35465.333333333
208;5;42076;35465.333333333
209;5;42076;35465.333333333
210;5;42076;35465.333333333
211;5;42076;35465.333333333
212;5;42076;35465.333333333
213;5;42076;35465.333333333
214;5;42076;35465.333333333
215;5;42076;35465.333333333
216;5;42076;35465.333333333
217;5;42076;35465.333333333
218;5;42076;35465.333333333
219;5;42076;35465.333333333
220;5;42076;35452.666666667
221;5;42076;35422
222;5;42076;35422
223;5;42076;35422
224;5;42076;35422
225;5;42076;35422
226;5;42076;35422
227;5;42076;35422
228;5;42076;35422
229;5;42076;35422
230;5;42076;35422
231;5;42076;35422
232;5;42076;35422
233;5;42076;35422
234;5;42076;35422
235;5;42076;35422
236;5;42076;35422
237;5;42076;35422
238;5;42076;35422
239;5;42076;35422
240;5;42076;35422
241;5;42076;35422
242;5;42076;35422
243;5;42076;35422
244;5;42076;35422
245;5;42076;35422
246;5;42076;35422
247;5;42076;35422
248;5;42076;35422
249;5;42076;35422
250;5;42076;35422
251;5;42076;35422
252;5;42076;35422
253;5;42076;35422
254;5;42076;35422
255;5;42076;35422
256;5;42076;35422
257;5;42076;35422
258;5;42076;35422
259;5;42076;35422
260;5;42076;35422
261;5;42076;35422
262;5;42076;35422
263;5;42076;35422
264;5;42076;35422
265;5;42076;35422
266;5;42076;35422
267;5;42076;35422
268;5;42076;35422
269;5;42076;35422
270;5;42076;35422
271;5;42076;35422
272;5;42076;35422
273;5;42076;35422
274;5;42076;35422
275;5;42076;35422
276;5;42076;35422
277;5;42076;35422
278;5;42076;35422
279;5;42076;35422
280;5;42076;35422
281;5;42076;35422
282;5;42076;35422
283;5;42076;35422
284;5;42076;35422
285;5;42076;35422
286;5;42076;35422
287;5;42076;35422
288;5;42076;35422
289;5;42076;35422
290;5;42076;35422
291;5;42076;35422
292;5;42076;35422
293;5;42076;35422
294;5;42076;35422
295;5;42076;35422
296;5;42076;35422
297;5;42076;35422
298;5;42076;35422
299;5;42076;35422
300;5;42076;35420.666666667
301;5;42076;35420.666666667
302;5;42076;35420.666666667
303;5;42076;35420.666666667
304;5;42076;35420.666666667
305;5;42076;35420.666666667
306;5;42076;35420.666666667
307;5;42076;35420.666666667
308;5;42076;35420.666666667
309;5;42076;35420.666666667
310;5;42076;35420.666666667
311;5;42076;35378
312;5;42076;35378
313;5;42076;35378
314;5;42076;35378
315;5;42076;35378
316;5;42076;35378
317;5;42076;35378
318;5;42076;35378
319;5;42076;35378
320;5;42076;35378
321;5;42076;35378
322;5;42076;35378
323;5;42076;35378
324;5;42076;35378
325;5;42076;35378
326;5;42076;35378
327;5;42076;35378
328;5;42076;35378
329;5;42076;35378
330;5;42076;35378
331;5;42076;35378
332;5;42076;35378
333;5;42076;35378
334;5;42076;35378
335;5;42076;35378
336;5;42076;35378
337;5;42076;35378
338;5;42076;35378
339;5;42076;35378
340;5;42076;35378
341;5;42076;35378
342;5;42076;35378
343;5;42076;35378
344;5;42076;35378
345;5;42076;35378
346;5;42076;35378
347;5;42076;35378
348;5;42076;35378
349;5;42076;35378
350;5;42076;35378
351;5;42076;35378
352;5;42076;35378
353;5;42076;35378
354;5;42076;35378
355;5;42076;35378
356;5;42076;35378
357;5;42076;35378
358;5;42076;35378
359;5;42076;35378
360;5;42076;35378
361;5;42076;35378
362;5;42076;35378
363;5;42076;35378
364;5;42076;35378
365;5;42076;35378
366;5;42076;35378
367;5;42076;35378
368;5;42076;35378
369;5;42076;35378
370;5;42076;35378
371;5;42076;35378
372;5;42076;35378
373;5;42076;35378
374;5;42076;35378
375;5;42076;35378
376;5;42076;35378
377;5;42076;35378
378;5;42076;35378
379;5;42076;35378
