It;T;Melhor;Corrente
1;5;441707;441707
2;5;441707;441707
3;5;441707;441707
4;5;441707;441707
5;5;441707;441707
6;5;441707;441707
7;5;441707;441707
8;5;441707;441707
9;5;441707;441707
10;5;441707;441707
11;5;441707;441707
12;5;441707;441707
13;5;441707;441707
14;5;441707;441707
15;5;441707;441707
16;5;441707;441707
17;5;441707;441707
18;5;441707;441707
19;5;441707;441707
20;5;441707;441707
21;5;441707;441707
22;5;441707;441707
23;5;441707;441707
24;5;441707;441707
25;5;441707;441707
26;5;441707;441707
27;5;441707;441707
28;5;441707;441707
29;5;441707;441707
30;5;441707;441707
31;5;441707;441707
32;5;441707;441707
33;5;441707;441707
34;5;441707;441707
35;5;441707;441707
36;5;441707;441707
37;5;441707;441707
38;5;441707;441707
39;5;441707;441707
40;5;441707;441707
41;5;441707;441707
42;5;441707;441707
43;5;441707;441707
44;5;441707;441707
45;5;441707;441707
46;5;441707;441707
47;5;441707;441707
48;5;441707;441707
49;5;441707;441707
50;5;441707;441707
51;5;441707;441707
52;5;441707;441707
53;5;441707;441707
54;5;441707;441707
55;5;441707;441707
56;5;441707;441707
57;5;441707;441707
58;5;441707;441707
59;5;441707;441707
60;5;441707;441707
61;5;441707;441707
62;5;441707;441707
63;5;441707;441707
64;5;441707;441707
65;5;441707;441707
66;5;441707;441707
67;5;441707;441707
68;5;441707;441707
69;5;441707;441707
70;5;441707;441707
71;5;441707;441707
72;5;441707;441707
73;5;441707;441707
74;5;441707;441707
75;5;441707;441707
76;5;441707;441707
77;5;441707;441707
78;5;441707;441707
79;5;441707;441707
80;5;441707;441707
81;5;441707;441707
82;5;441707;441707
83;5;441707;441707
84;5;441707;441707
85;5;441707;441707
86;5;441707;441707
87;5;441707;441707
88;5;441707;441707
89;5;441707;441707
90;5;421704;421704
91;5;421704;421704
92;5;411710;411710
93;5;411710;411710
94;5;411710;411710
95;5;411710;411710
96;5;411710;411710
97;5;411710;411710
98;5;411710;411710
99;5;411710;411710
100;5;411710;411710
101;5;411710;411710
102;5;411710;411710
103;5;411710;411710
104;5;411710;411710
105;5;411710;411710
106;5;411710;411710
107;5;411710;411710
108;5;411686;411686
109;5;411686;411686
110;5;411686;411686
111;5;411686;411686
112;5;411686;411686
113;5;411686;411686
114;5;411686;411686
