S,I,T
275,1,0.01
277,2,0.03
308,3,0.05
338,4,0.07
339,5,0.09
349,6,0.11
351,7,0.13
360,8,0.15
368,9,0.17
387,10,0.19
407,11,0.21
413,12,0.23
422,13,0.25
424,14,0.27
426,15,0.29
430,16,0.31
446,17,0.33
450,18,0.35
460,19,0.37
460,20,0.39
483,21,0.41
489,22,0.43
499,23,0.45
500,24,0.47
503,25,0.49
509,26,0.51
524,27,0.53
534,28,0.55
541,29,0.57
546,30,0.59
551,31,0.61
565,32,0.63
584,33,0.65
590,34,0.67
595,35,0.69
622,36,0.71
628,37,0.73
631,38,0.75
657,39,0.77
717,40,0.79
729,41,0.81
763,42,0.83
769,43,0.85
788,44,0.87
808,45,0.89
830,46,0.91
